id;prj;sec;dim;quality;rem_len;marking_text;used_in
208;056001;05003;RP220X11;A40;1748;05003-RP220X11-A40-14-L1748;
209;056001;05003;RP220X11;A40;1798;05003-RP220X11-A40-15-L1798;
210;056001;05003;RP220X11;A40;2140;05003-RP220X11-A40-16-L2140;
211;056001;05003;RP220X11;A40;2204;05003-RP220X11-A40-17-L2204;
212;056001;05003;RP220X11;A40;2204;05003-RP220X11-A40-18-L2204;
213;056001;05003;RP220X11;A40;9551;05003-RP220X11-A40-19-L9551;05001-RP220X11-A40-1
214;056001;05003;RP200X10;A40;1374;05003-RP200X10-A40-5-L1374;05003-RP200X10-A40-1
215;056001;05003;RP200X10;A40;7154;05003-RP200X10-A40-6-L7154;05003-RP200X10-A40-2
216;056001;05003;RP180X11;A40;2204;05003-RP180X11-A40-61-L2204;06004-RP180X11-A40-1
217;056001;05003;RP180X11;A40;2204;05003-RP180X11-A40-62-L2204;
218;056001;05003;RP180X11;A40;2204;05003-RP180X11-A40-63-L2204;
219;056001;05003;RP180X11;A40;2204;05003-RP180X11-A40-64-L2204;05003-RP180X11-A40-3
220;056001;05003;RP180X11;A40;2204;05003-RP180X11-A40-65-L2204;05003-RP180X11-A40-4
221;056001;05003;RP180X11;A40;2204;05003-RP180X11-A40-66-L2204;
222;056001;05003;RP180X11;A40;2204;05003-RP180X11-A40-67-L2204;
223;056001;05003;RP180X11;A40;2204;05003-RP180X11-A40-68-L2204;
224;056001;05003;RP180X11;A40;2204;05003-RP180X11-A40-69-L2204;
225;056001;05003;RP180X11;A40;2204;05003-RP180X11-A40-70-L2204;
226;056001;05003;RP180X11;A40;2204;05003-RP180X11-A40-71-L2204;
227;056001;05003;RP180X11;A40;2204;05003-RP180X11-A40-72-L2204;
228;056001;05003;RP180X11;A40;2204;05003-RP180X11-A40-73-L2204;
229;056001;05003;RP180X11;A40;2204;05003-RP180X11-A40-74-L2204;
230;056001;05003;RP180X11;A40;2204;05003-RP180X11-A40-75-L2204;05002-RP180X11-A40-2
231;056001;05003;RP180X11;A40;2204;05003-RP180X11-A40-76-L2204;
232;056001;05003;RP180X11;A40;2204;05003-RP180X11-A40-77-L2204;
233;056001;05003;RP180X11;A40;2204;05003-RP180X11-A40-78-L2204;
234;056001;05003;RP180X11;A40;2204;05003-RP180X11-A40-79-L2204;
235;056001;05003;RP180X11;A40;2204;05003-RP180X11-A40-80-L2204;
236;056001;05003;RP180X11;A40;2204;05003-RP180X11-A40-81-L2204;
237;056001;05003;RP180X11;A40;2204;05003-RP180X11-A40-82-L2204;
238;056001;05003;RP180X11;A40;2204;05003-RP180X11-A40-83-L2204;
239;056001;05003;RP180X11;A40;2204;05003-RP180X11-A40-84-L2204;
240;056001;05003;RP180X11;A40;2204;05003-RP180X11-A40-85-L2204;
241;056001;05003;RP180X11;A40;9551;05003-RP180X11-A40-86-L9551;05003-RP180X11-A40-5
242;056001;06004;RP180X11;A40;1496;06004-RP180X11-A40-1-L1496;05002-RP180X11-A40-1
243;056001;05001;RP220X11;A40;1862;05001-RP220X11-A40-1-L1862;
244;056001;05001;RP220X11;A40;1748;05001-RP220X11-A40-2-L1748;
245;056001;05001;RP220X11;A40;1748;05001-RP220X11-A40-3-L1748;
